#,Company,Symbol,Portfolio%,Price,Chg,% Chg
109,Marathon Petroleum Corporation,MPC,0.18%,212.12,-4.86,(-2.24%)
110,"Eog Resources, Inc.",EOG,0.18%,137.06,1.61,(1.19%)
111,Intercontinental Exchange Inc.,ICE,0.18%,135.06,-1.82,(-1.33%)
112,Target Corporation,TGT,0.18%,171.63,1.93,(1.14%)
113,The Sherwin-Williams Company,SHW,0.18%,334.55,2.25,(0.68%)
114,Schlumberger Limited,SLB,0.18%,54.17,0.13,(0.24%)
115,Cme Group Inc.,CME,0.18%,209.78,-2.97,(-1.40%)
116,The Southern Company,SO,0.17%,70.59,0.53,(0.76%)
117,Zoetis Inc.,ZTS,0.17%,167.14,1.45,(0.88%)
118,"Waste Management, Inc.",WM,0.17%,206.48,-0.22,(-0.11%)
119,Arista Networks,ANET,0.17%,294.75,-2.63,(-0.88%)
120,Duke Energy Corporation,DUK,0.17%,97.32,1.01,(1.05%)
121,"Altria Group, Inc.",MO,0.17%,42.11,0.15,(0.36%)
122,"Equinix, Inc. Reit",EQIX,0.17%,801.24,13.05,(1.66%)
123,Parker-Hannifin Corporation,PH,0.17%,561.35,-4.58,(-0.81%)
124,Phillips 66,PSX,0.17%,165.41,-3.14,(-1.86%)
125,Colgate-Palmolive Company,CL,0.17%,87.65,-0.07,(-0.08%)
126,Illinois Tool Works Inc.,ITW,0.16%,262.58,0.54,(0.21%)
127,Freeport-Mcmoran Inc.,FCX,0.16%,51.3,1.3,(2.60%)
128,"Paypal Holdings, Inc.",PYPL,0.16%,67.0,0.66,(0.99%)
129,Csx Corporation,CSX,0.16%,35.95,-0.1,(-0.28%)
130,"Becton, Dickinson and Co.",BDX,0.16%,245.81,4.09,(1.69%)
131,Mckesson Corporation,MCK,0.16%,527.28,-4.95,(-0.93%)
132,"Airbnb, Inc. Class A",ABNB,0.16%,162.66,2.39,(1.49%)
133,Amphenol Corporation,APH,0.16%,114.98,-1.64,(-1.41%)
134,Trane Technologies Plc,TT,0.16%,301.22,-2.62,(-0.86%)
135,Transdigm Group Incorporated,TDG,0.16%,1215.93,-17.36,(-1.41%)
136,U.S. Bancorp,USB,0.16%,43.94,0.22,(0.50%)
137,General Dynamics Corporation,GD,0.15%,288.84,-4.29,(-1.46%)
138,"O'reilly Automotive, Inc.",ORLY,0.15%,1095.74,-11.5,(-1.04%)
139,Emerson Electric Co.,EMR,0.15%,114.25,-0.42,(-0.37%)
140,"Hca Healthcare, Inc.",HCA,0.15%,328.89,0.87,(0.27%)
141,Northrop Grumman Corp.,NOC,0.15%,454.66,-1.7,(-0.37%)
142,Pnc Financial Services Group,PNC,0.15%,161.4,0.44,(0.27%)
143,Paccar Inc,PCAR,0.15%,119.18,-3.33,(-2.72%)
144,Aon Plc Class A,AON,0.15%,319.4,-0.44,(-0.14%)
145,Fedex Corporation,FDX,0.15%,276.37,0.8,(0.29%)
146,Pioneer Natural Resource Co.,PXD,0.14%,272.28,1.77,(0.65%)
147,Nxp Semiconductors N.v.,NXPI,0.14%,251.83,6.91,(2.82%)
148,Marriot International Class A,MAR,0.14%,254.94,0.26,(0.10%)
149,Moody's Corporation,MCO,0.14%,397.89,1.82,(0.46%)
150,Valero Energy Corporation,VLO,0.14%,176.26,-4.63,(-2.56%)
151,Constellation Energy Corporation,CEG,0.14%,188.1,-3.88,(-2.02%)
152,Cintas Corp,CTAS,0.13%,677.72,0.3,(0.04%)
153,"Motorola Solutions, Inc.",MSI,0.13%,352.96,0.93,(0.26%)
154,"Roper Technologies, Inc.",ROP,0.13%,543.48,0.25,(0.05%)
155,"Ecolab, Inc.",ECL,0.13%,225.79,-1.0,(-0.44%)
156,Norfolk Southern Corp.,NSC,0.13%,253.39,3.13,(1.25%)
157,Edwards Lifesciences Corp,EW,0.13%,93.05,0.71,(0.77%)
158,Capital One Financial,COF,0.13%,143.52,-0.4,(-0.28%)
159,"American International Group, Inc.",AIG,0.13%,75.52,-2.33,(-2.99%)
160,"Dexcom, Inc.",DXCM,0.12%,140.45,0.51,(0.36%)
161,Hilton Worldwide Holdings Inc.,HLT,0.12%,209.91,-1.67,(-0.79%)
162,"Autozone, Inc.",AZO,0.12%,3043.62,-32.47,(-1.06%)
163,"Air Products & Chemicals, Inc.",APD,0.12%,239.66,2.03,(0.85%)
164,Ford Motor Company,F,0.12%,13.54,0.13,(0.97%)
165,"The Travelers Companies, Inc.",TRV,0.12%,223.84,-6.75,(-2.93%)
166,Arthur J. Gallagher & Co.,AJG,0.12%,244.13,-0.03,(-0.01%)
167,Autodesk Inc,ADSK,0.12%,247.93,2.04,(0.83%)
